296s, 65;
296l, 65;
297s, 65;
297l, 70;
298s, 65 65;
298l, 34 87;
299s, 65;
299l, 52;
300s, 65 65 65;
300l, 65 34 52;
301s, 65;
301l, 78;
306s, 65;
306l, 65;
307s, 65;
307l, 76;
308s, 65;
308l, 65;
326s, 27 23 49 7 49 19 16;
326l, 6 74 62 43 37 79 37;
328s, 55 56 70;
328l, 50 16 23;
329s, 70 45 70 60;
329l, 34 17 55 81;
330s, 6 70 19 12 65 34 22 58 19;
330l, 87 74 43 24 21 43 51 6 43;
331s, 33 25 33 87 6 65 19 33 76 87 45;
331l, 6 60 20 6 87 70 19 65 6 6 61;
332s, 77 65 33 70 7 66;
332l, 70 19 71 62 19 87;
333s, 7 87 33 65 58 66 33;
333l, 7 6 58 61 43 66 55;
334s, 65 70 7;
334l, 19 20 62;
335s, 51 65 65;
335l, 34 61 19;
336s, 87 33 35 32 33 35;
336l, 62 4 33 35 31 76;
337s, 70 7 35 44 21;
337l, 5 34 46 24 23;
338s, 34 55 19 65;
338l, 70 57 20 59;
339s, 48 41 45 7 33 52 19 35;
339l, 45 54 48 11 53 34 2 27;
340s, 90 34 49 34 32 7;
340l, 73 89 17 34 24 34;
341s, 68 7 77 87;
341l, 90 84 65 6;
342s, 34;
342l, 89;
343s, 61 49 24 21;
343l, 6 11 49 6;
344s, 7 21 23 87 47 21 87 90 34;
344l, 7 6 57 43 33 62 78 81 23;
345s, 70 65 46;
345l, 66 66 62;
346s, 23 7 65 76 35;
346l, 57 34 65 71 20;
347s, 35 70 6 35;
347l, 11 88 77 24;
348s, 78 17 35;
348l, 34 35 33;
349s, 35 87 36 35 70;
349l, 31 48 34 76 6;
350s, 85 76 88 34 90;
350l, 51 65 62 62 72;
351s, 87 70 34 70;
351l, 48 48 19 48;
352s, 35 65 23;
352l, 33 34 71;
353s, 37 44 23 6 25 65 65;
353l, 43 58 51 87 54 65 21;
354s, 24 13 72 34 16 65 65;
354l, 41 54 90 43 62 87 65;
355s, 34 51 21 70 37 35 51 34 52 65 65 65;
355l, 21 79 62 6 48 69 14 24 65 76 52 65;
356s, 6 31 57 65;
356l, 87 24 23 70;
357s, 66 87 65;
357l, 17 23 43;
358s, 76 33 76 55 24 27 65 65;
358l, 57 55 24 74 57 71 52 65;
359s, 35 57 65 53 35;
359l, 76 24 58 53 33;
360s, 15 23 51 20 19 66 70 45 35;
360l, 60 62 34 62 31 65 17 23 33;
361s, 58 65 70 65;
361l, 37 65 59 34;
362s, 48 65 36 23 45 78;
362l, 87 66 36 7 6 70;
363s, 35 34 48 44 65;
363l, 33 21 32 33 66;
364s, 35 23 25 51;
364l, 33 24 54 34;
365s, 59 70 58;
365l, 34 23 59;
366s, 13 55 85 33 34 21;
366l, 90 24 55 91 43 17;
367s, 70 35 58 65 35 7 26 35 2 24 35;
367l, 67 7 6 77 24 34 90 33 37 71 33;
368s, 35 33 35 58 65 34 23 2;
368l, 33 24 5 48 21 43 48 62;
369s, 43 35 34 70 35 68;
369l, 44 33 24 79 6 90;
370s, 34 35 84 35;
370l, 6 33 33 71;
371s, 35 34 6 76 56;
371l, 55 57 35 71 84;
372s, 34 19 65 84 24 56 52 6;
372l, 52 43 65 84 30 56 48 23;
373s, 51 65 56 4 65;
373l, 11 55 56 9 62;
374s, 55 35 70 35 49 35 90 70 35 70 79;
374l, 24 33 22 33 58 12 81 88 33 58 79;
375s, 23 3 85 48 46 62 79 12 48;
375l, 87 3 6 6 46 30 49 50 65;
376s, 7 46 35 37;
376l, 7 23 50 87;
377s, 85 34 7 46 34;
377l, 7 51 7 17 91;
378s, 33 7 23 65 74 33 57 7 6;
378l, 6 43 19 87 71 57 91 51 57;
379s, 59 77 35 87;
379l, 50 20 34 31;
380s, 24 59 35 65 76 24;
380l, 91 24 33 48 35 91;
381s, 14 34 85 76 62 70 78 6;
381l, 77 43 14 50 21 6 34 62;
382s, 70 65 70 51 34 65 70;
382l, 57 66 20 87 85 53 48;
383s, 24 65 19 31 24 33 23 58 7 57 55 34 34;
383l, 57 48 34 24 30 33 57 52 34 24 24 43 7;
384s, 65 7;
384l, 35 7;
385s, 33 3 7 88 33 70 35 21 48;
385l, 24 3 34 50 20 31 74 59 31;
386s, 24 3 53 87 35 19 2 44 49 49 2 52;
386l, 30 3 34 89 33 19 35 77 71 17 49 24;
387s, 61 25 70 45 70 50 12 49;
387l, 31 54 89 62 31 6 17 52;
388s, 17 70 87 6 45 23 70 31 70 25 70;
388l, 71 91 11 62 44 52 58 20 37 54 62;
389s, 35 48 6 11 48 87 21 70 6 55 66 6 51 21 70 6 66;
389l, 56 2 85 44 11 65 17 62 11 35 62 23 23 35 22 87 71;
390s, 70 35 48 90 7 34 35 87 65 72 57 76 87 35 72 58 34 87 21 76 33 27 35 65 34 16 70 33 6 65;
390l, 44 50 79 73 67 84 33 19 65 90 44 24 65 30 90 87 52 31 35 71 24 35 33 62 85 61 57 70 49 65;
391s, 35 52 59 34 35 88 34 35 90 70 33 21 65 23 70 34 33 65 34 12 88 23 24;
391l, 33 43 65 85 33 17 34 55 73 57 6 20 12 23 6 85 55 88 52 33 17 24 57;
392s, 90 70 62 35 31 70 65 34 19 58 49 23 65 65 23 53 48;
392l, 73 19 44 62 50 37 7 7 34 48 3 57 20 19 71 27 65;
393s, 35 34 6 49 65 48 55 35 65 53 12 7 52 70;
